timestep,position_error,x_error,y_error,z_error,linear_velocity_error,x_vel_error,y_vel_error,z_vel_error,angular_velocity_error,rx_vel_error,ry_vel_error,rz_vel_error
0.004167,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
0.008333,0.0001,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0001,0.0001,0.0,0.0
0.0125,0.0001,-0.0001,-0.0001,0.0001,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
0.016667,0.0001,-0.0001,-0.0001,0.0001,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
0.020833,0.0002,-0.0001,-0.0001,0.0001,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.025,0.0002,-0.0001,-0.0001,0.0001,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
0.029167,0.0003,0.0,0.0001,0.0003,0.0001,-0.0001,0.0,0.0001,0.0009,0.0007,0.0,0.0006
0.033333,0.0003,0.0,0.0001,0.0003,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
0.0375,0.0003,-0.0,0.0,0.0003,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.041667,0.0004,-0.0001,-0.0,0.0004,0.0,-0.0,-0.0,-0.0,0.0001,-0.0,0.0,0.0001
0.045833,0.0005,-0.0002,-0.0,0.0004,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.05,0.0005,-0.0002,-0.0001,0.0005,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
0.054167,0.0006,-0.0003,-0.0001,0.0005,0.0,-0.0,-0.0,-0.0,0.0001,-0.0,-0.0,-0.0001
0.058333,0.0007,-0.0003,-0.0001,0.0006,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.0625,0.0008,-0.0004,-0.0002,0.0006,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.066667,0.0009,-0.0005,-0.0002,0.0007,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
0.070833,0.0009,-0.0005,-0.0003,0.0007,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
0.075,0.001,-0.0006,-0.0004,0.0007,0.0,-0.0,-0.0,-0.0,0.0001,-0.0001,-0.0,-0.0
