timestep,position_error,x_error,y_error,z_error,linear_velocity_error,x_vel_error,y_vel_error,z_vel_error,angular_velocity_error,rx_vel_error,ry_vel_error,rz_vel_error
0.004167,0.0,-0.0,-0.0,0.0,0.0002,0.0001,-0.0001,-0.0,0.0003,-0.0003,-0.0,-0.0
0.008333,0.0001,-0.0,-0.0,0.0,0.0002,0.0001,-0.0001,-0.0,0.0002,-0.0,0.0002,0.0
0.0125,0.0001,-0.0001,-0.0001,0.0001,0.0002,0.0002,-0.0001,-0.0,0.0003,-0.0002,-0.0002,-0.0
0.016667,0.0002,-0.0001,-0.0001,0.0001,0.0002,0.0001,-0.0001,-0.0,0.0011,0.0007,-0.0008,-0.0
0.020833,0.0003,-0.0001,-0.0001,0.0003,0.0003,0.0002,-0.0002,-0.0,0.0013,0.001,-0.0009,-0.0
0.025,0.0006,-0.0001,-0.0001,0.0005,0.0003,0.0002,-0.0002,-0.0,0.0008,0.0007,-0.0003,-0.0
0.029167,0.0009,0.0,0.0001,0.0009,0.0021,-0.0017,0.0013,0.0,0.0146,-0.0086,0.0118,0.0004
0.033333,0.0013,-0.0,0.0001,0.0013,0.0003,0.0002,-0.0002,-0.0,0.0013,-0.0013,0.0002,-0.0
0.0375,0.002,-0.0001,0.0001,0.002,0.0003,0.0001,-0.0003,-0.0,0.0018,-0.0017,0.0006,0.0
0.041667,0.0026,-0.0003,0.0,0.0026,0.0006,0.0002,-0.0006,-0.0,0.0017,-0.001,0.0014,0.0001
0.045833,0.0023,-0.0004,-0.0,0.0023,0.0004,0.0002,-0.0004,-0.0,0.0018,-0.0018,0.0002,0.0
0.05,0.0028,-0.0005,-0.0,0.0028,0.0003,0.0002,-0.0003,-0.0,0.0006,-0.0006,-0.0,0.0
0.054167,0.0034,-0.0006,-0.0001,0.0033,0.0006,0.0003,-0.0005,-0.0,0.0013,-0.0006,-0.0011,-0.0
0.058333,0.0039,-0.0007,-0.0001,0.0038,0.0005,0.0002,-0.0004,-0.0,0.0012,-0.0012,0.0003,0.0
0.0625,0.0043,-0.0008,-0.0001,0.0042,0.0005,0.0003,-0.0004,-0.0,0.0008,-0.0006,-0.0005,-0.0
0.066667,0.0049,-0.001,-0.0001,0.0048,0.0005,0.0002,-0.0004,-0.0,0.0007,-0.0,-0.0007,-0.0
0.070833,0.0055,-0.0011,-0.0001,0.0054,0.0007,0.0004,-0.0005,-0.0,0.0006,-0.0004,-0.0005,-0.0
0.075,0.006,-0.0012,-0.0002,0.0058,0.0008,0.0006,-0.0005,-0.0,0.0009,-0.0003,-0.0008,-0.0
0.079167,0.0066,-0.0013,-0.0002,0.0065,0.0006,0.0004,-0.0004,-0.0,0.0004,-0.0004,0.0001,0.0
0.083333,0.0073,-0.0015,-0.0002,0.0071,0.0006,0.0004,-0.0005,-0.0,0.0016,-0.0004,0.0015,0.0001
0.0875,0.0077,-0.0016,-0.0003,0.0075,0.0007,0.0005,-0.0004,-0.0,0.0008,-0.0005,0.0007,0.0001
0.091667,0.0084,-0.0017,-0.0003,0.0082,0.0009,0.0006,-0.0006,-0.0001,0.0017,0.0008,-0.0015,-0.0001
0.095833,0.0089,-0.0018,-0.0004,0.0087,0.0009,0.0007,-0.0005,-0.0001,0.002,0.0011,-0.0016,-0.0002
0.1,0.0093,-0.002,-0.0004,0.0091,0.001,0.0007,-0.0006,-0.0001,0.0026,0.0013,-0.0022,-0.0002
0.104167,0.0097,-0.0021,-0.0004,0.0095,0.0009,0.0007,-0.0006,-0.0001,0.002,0.0009,-0.0019,-0.0001
0.108333,0.0102,-0.0023,-0.0005,0.01,0.0011,0.0009,-0.0006,-0.0001,0.0027,0.0005,-0.0026,-0.0001
0.1125,0.0107,-0.0024,-0.0005,0.0104,0.001,0.0008,-0.0005,-0.0001,0.0023,0.0011,-0.002,-0.0002
0.116667,0.0111,-0.0025,-0.0005,0.0108,0.0011,0.0009,-0.0006,-0.0001,0.0015,0.0006,-0.0014,-0.0001
0.120833,0.0114,-0.0027,-0.0006,0.0111,0.0013,0.001,-0.0008,-0.0001,0.0029,-0.0023,0.0017,0.0002
0.125,0.0119,-0.0028,-0.0006,0.0116,0.0009,0.0006,-0.0007,-0.0001,0.0058,-0.0042,0.004,0.0004
0.129167,0.0126,-0.0028,-0.0004,0.0123,0.0009,-0.0009,-0.0,0.0001,0.0235,-0.0181,0.0148,0.0019
0.133333,0.0128,-0.0033,-0.0004,0.0124,0.0034,0.0012,-0.0032,-0.0001,0.0125,0.009,-0.0086,-0.0009
0.1375,0.0131,-0.0037,-0.0005,0.0126,0.0027,0.0014,-0.0024,-0.0001,0.0119,0.0076,-0.0091,-0.0007
0.141667,0.0133,-0.0039,-0.0007,0.0127,0.0021,0.0016,-0.0013,-0.0002,0.0094,0.0054,-0.0078,-0.0004
0.145833,0.0136,-0.0041,-0.0007,0.0129,0.0015,0.0014,-0.0006,-0.0002,0.0039,0.0025,-0.003,-0.0002
0.15,0.0139,-0.0042,-0.0008,0.0132,0.0015,0.0012,-0.0008,-0.0001,0.0024,-0.0007,0.0022,-0.0001
0.154167,0.0141,-0.0042,-0.0008,0.0134,0.0009,0.0008,-0.0004,-0.0001,0.004,-0.0015,0.0037,-0.0001
0.158333,0.0143,-0.0043,-0.0007,0.0136,0.0011,0.001,-0.0004,-0.0001,0.0039,-0.0029,0.0025,0.0002
0.1625,0.0139,-0.0042,-0.0011,0.0132,0.0032,0.0029,0.0013,-0.0007,0.0386,0.0193,-0.0334,0.0009
0.166667,0.0146,-0.0043,-0.0009,0.0139,0.0012,-0.0001,-0.0011,0.0002,0.0486,-0.0279,0.0398,-0.0007
0.170833,0.0147,-0.0044,-0.0009,0.014,0.0017,0.0016,-0.0005,-0.0002,0.0055,-0.005,0.0022,0.0006
0.175,0.0149,-0.0045,-0.001,0.0142,0.0017,0.0016,-0.0005,-0.0002,0.0042,-0.004,0.0011,0.0006
0.179167,0.015,-0.0046,-0.0011,0.0143,0.0018,0.0016,-0.0007,-0.0002,0.0035,-0.0034,0.0,0.0007
0.183333,0.0152,-0.0047,-0.0011,0.0144,0.0019,0.0017,-0.0008,-0.0002,0.0034,-0.0032,-0.0005,0.0007
0.1875,0.0153,-0.0048,-0.0012,0.0145,0.0018,0.0017,-0.0006,-0.0002,0.0047,-0.0045,-0.0006,0.001
0.191667,0.0155,-0.005,-0.0013,0.0146,0.0021,0.0017,-0.0012,-0.0001,0.0068,-0.0066,-0.0004,0.0014
0.195833,0.0156,-0.0052,-0.0013,0.0147,0.0016,0.0013,-0.0009,-0.0,0.0081,-0.0079,0.0012,0.0012
0.2,0.0158,-0.0053,-0.0015,0.0148,0.0025,0.0025,-0.0005,-0.0003,0.0049,-0.0043,-0.0019,0.0013
0.204167,0.0159,-0.0054,-0.0015,0.0149,0.0019,0.0018,-0.0006,-0.0002,0.0063,-0.0062,0.0001,0.0011
0.208333,0.016,-0.0055,-0.0017,0.015,0.0021,0.002,-0.0005,-0.0002,0.0067,-0.0064,-0.001,0.0014
0.2125,0.0161,-0.0055,-0.0017,0.0151,0.0021,0.0021,-0.0004,-0.0003,0.0057,-0.0056,0.0001,0.0009
0.216667,0.0163,-0.0056,-0.0019,0.0152,0.0022,0.0022,-0.0003,-0.0003,0.0067,-0.0065,0.0016,0.0007
0.220833,0.0164,-0.0057,-0.0021,0.0152,0.0026,0.0026,-0.0004,-0.0003,0.006,-0.0059,-0.0006,0.0011
0.225,0.0165,-0.0057,-0.0022,0.0153,0.0025,0.0024,-0.0004,-0.0003,0.0058,-0.0055,-0.0015,0.0012
0.229167,0.0166,-0.0058,-0.0024,0.0153,0.0026,0.0026,-0.0003,-0.0003,0.0048,-0.0045,-0.0013,0.001
0.233333,0.0166,-0.0058,-0.0026,0.0154,0.0025,0.0025,-0.0002,-0.0003,0.0055,-0.0054,0.0002,0.0007
0.2375,0.0168,-0.0059,-0.0028,0.0154,0.0027,0.0026,-0.0002,-0.0003,0.0057,-0.0056,0.0003,0.0006
0.241667,0.0169,-0.0059,-0.0029,0.0155,0.0026,0.0026,-0.0002,-0.0002,0.0048,-0.0047,0.0009,0.0003
0.245833,0.0169,-0.006,-0.0031,0.0155,0.0026,0.0025,-0.0004,-0.0002,0.0047,-0.0046,-0.0006,0.0006
0.25,0.017,-0.006,-0.0032,0.0156,0.0027,0.0027,-0.0001,-0.0003,0.0047,-0.0047,0.0005,0.0004
0.254167,0.0172,-0.006,-0.0035,0.0158,0.0034,0.0034,0.0003,-0.0004,0.0062,-0.0061,-0.0007,0.0007
0.258333,0.0174,-0.006,-0.0037,0.016,0.0032,0.0031,-0.0,-0.0003,0.0053,-0.0051,-0.0012,0.0007
0.2625,0.0181,-0.0061,-0.004,0.0166,0.0032,0.0032,0.0001,-0.0003,0.005,-0.0048,-0.0013,0.0007
0.266667,0.0174,-0.0063,-0.0044,0.0156,0.0034,0.0034,0.0001,-0.0004,0.0056,-0.0055,-0.0005,0.0007
0.270833,0.017,-0.0066,-0.0048,0.0149,0.0038,0.0038,0.0001,-0.0005,0.0052,-0.0051,-0.0006,0.0008
0.275,0.017,-0.0068,-0.005,0.0147,0.0035,0.0035,0.0001,-0.0005,0.006,-0.0059,0.0001,0.0009
0.279167,0.0172,-0.0068,-0.0053,0.0149,0.004,0.0039,0.0004,-0.0007,0.0074,-0.0072,-0.001,0.0013
0.283333,0.0176,-0.0067,-0.0055,0.0154,0.0036,0.0035,0.0003,-0.0007,0.0072,-0.0071,0.0002,0.0012
0.2875,0.018,-0.0066,-0.0057,0.0157,0.004,0.0039,0.0003,-0.0007,0.0087,-0.0084,-0.0012,0.0017
0.291667,0.0184,-0.0065,-0.0059,0.0161,0.0039,0.0038,0.0003,-0.0008,0.0093,-0.0091,0.0011,0.0015
0.295833,0.0189,-0.0064,-0.0062,0.0166,0.0043,0.0042,0.0004,-0.0009,0.0082,-0.0081,-0.0002,0.0016
0.3,0.0193,-0.0063,-0.0064,0.017,0.0043,0.0042,0.0004,-0.0009,0.0083,-0.0082,0.0007,0.0015
0.304167,0.0195,-0.0062,-0.0066,0.0173,0.0044,0.0043,0.0002,-0.0009,0.0114,-0.0102,0.0048,0.0014
0.308333,0.0197,-0.0061,-0.007,0.0174,0.0047,0.0045,0.0005,-0.0011,0.0096,-0.0094,-0.0007,0.0022
0.3125,0.0199,-0.006,-0.0072,0.0175,0.0048,0.0046,0.0005,-0.0012,0.0089,-0.0086,0.0008,0.002
0.316667,0.0201,-0.0059,-0.0076,0.0176,0.0045,0.0043,0.0005,-0.0013,0.009,-0.0087,0.0006,0.0023
0.320833,0.0203,-0.0058,-0.0079,0.0177,0.0048,0.0045,0.0006,-0.0015,0.0095,-0.0091,-0.0002,0.0027
0.325,0.0206,-0.0057,-0.0083,0.018,0.0048,0.0044,0.0011,-0.0016,0.0104,-0.0099,0.0006,0.003
0.329167,0.0203,-0.0057,-0.0088,0.0175,0.0053,0.0049,0.0007,-0.0018,0.0105,-0.01,0.0006,0.0032
0.333333,0.0193,-0.0057,-0.0089,0.0162,0.0031,0.0028,0.0006,-0.0011,0.0121,-0.0109,0.0044,0.0029
0.3375,0.0195,-0.0057,-0.0093,0.0162,0.0052,0.0048,0.0006,-0.0018,0.0098,-0.0092,-0.0002,0.0034
0.341667,0.0197,-0.0057,-0.0096,0.0162,0.0052,0.0048,0.0007,-0.0019,0.0093,-0.0088,0.0004,0.0032
0.345833,0.0199,-0.0056,-0.0101,0.0163,0.0057,0.0051,0.0013,-0.0022,0.0082,-0.0076,0.0001,0.0029
0.35,0.0202,-0.0056,-0.0104,0.0164,0.0053,0.0048,0.0009,-0.002,0.0087,-0.0081,0.0011,0.003
0.354167,0.0204,-0.0057,-0.0107,0.0164,0.0052,0.0048,0.0007,-0.002,0.0092,-0.0083,0.0027,0.0029
0.358333,0.0207,-0.0057,-0.0111,0.0164,0.0055,0.005,0.0006,-0.0021,0.009,-0.0083,-0.0005,0.0034
0.3625,0.0209,-0.0057,-0.0115,0.0165,0.0059,0.0053,0.0013,-0.0023,0.0062,-0.0057,-0.0008,0.0024
0.366667,0.0212,-0.0057,-0.0119,0.0166,0.0061,0.0054,0.0015,-0.0024,0.0077,-0.0071,-0.0004,0.003
0.370833,0.0215,-0.0057,-0.0123,0.0167,0.0056,0.0051,0.001,-0.0022,0.0096,-0.0084,0.0033,0.0033
0.375,0.0217,-0.0057,-0.0127,0.0167,0.0056,0.0049,0.0014,-0.0022,0.0075,-0.0067,0.0018,0.0027
0.379167,0.022,-0.0057,-0.0131,0.0168,0.0063,0.0056,0.0015,-0.0025,0.0075,-0.0068,-0.0004,0.003
0.383333,0.0223,-0.0056,-0.0135,0.0168,0.0061,0.0053,0.0018,-0.0024,0.0042,-0.0036,-0.0014,0.0016
0.3875,0.0226,-0.0056,-0.0138,0.0169,0.0063,0.0055,0.0016,-0.0025,0.0051,-0.0047,-0.0006,0.0021
0.391667,0.0229,-0.0056,-0.0143,0.017,0.0064,0.0056,0.0017,-0.0025,0.0064,-0.0053,0.0027,0.0024
0.395833,0.0232,-0.0055,-0.0148,0.017,0.0065,0.0056,0.0021,-0.0025,0.0037,-0.0032,-0.0009,0.0015
0.4,0.0237,-0.0053,-0.0154,0.0171,0.0091,0.0079,0.0025,-0.0036,0.0163,-0.0109,-0.0112,0.0048
0.404167,0.0237,-0.0054,-0.0155,0.017,0.0035,0.0029,0.0012,-0.0013,0.0085,-0.0005,0.0085,0.0004
0.408333,0.0239,-0.0054,-0.0159,0.0171,0.0062,0.0053,0.002,-0.0025,0.0051,-0.0046,0.0007,0.0022
0.4125,0.0242,-0.0053,-0.0162,0.0171,0.0061,0.0053,0.0017,-0.0025,0.0059,-0.0053,0.0008,0.0025
0.416667,0.0247,-0.0052,-0.0169,0.0172,0.0094,0.0081,0.0029,-0.0038,0.0122,-0.0069,-0.0096,0.003
0.420833,0.025,-0.0051,-0.0174,0.0173,0.0069,0.006,0.0017,-0.0029,0.0072,-0.006,-0.0027,0.0028
0.425,0.0252,-0.0051,-0.0176,0.0173,0.0067,0.0057,0.0022,-0.0027,0.0041,-0.0036,-0.0009,0.0017
0.429167,0.0255,-0.005,-0.018,0.0173,0.0067,0.0057,0.0024,-0.0026,0.0024,-0.0021,-0.0008,0.001
0.433333,0.0257,-0.005,-0.0184,0.0173,0.0062,0.0054,0.002,-0.0025,0.004,-0.0025,0.0028,0.0012
0.4375,0.0259,-0.005,-0.0186,0.0173,0.0066,0.0058,0.0019,-0.0026,0.0036,-0.0021,-0.0029,0.0009
0.441667,0.0262,-0.005,-0.0191,0.0173,0.007,0.0061,0.0023,-0.0027,0.0034,0.0006,-0.0033,-0.0003
0.445833,0.0261,-0.0052,-0.019,0.0172,0.003,0.0026,0.0008,-0.0012,0.0119,0.0019,0.0117,-0.0008
0.45,0.0264,-0.0052,-0.0193,0.0172,0.0064,0.0056,0.0019,-0.0024,0.0039,-0.0031,0.002,0.0013
0.454167,0.0266,-0.0052,-0.0195,0.0172,0.0066,0.0057,0.0024,-0.0023,0.0035,-0.0025,-0.0022,0.0011
0.458333,0.0268,-0.0051,-0.0199,0.0173,0.0065,0.0057,0.0021,-0.0023,0.0023,-0.0013,-0.0018,0.0006
0.4625,0.0272,-0.0052,-0.0203,0.0173,0.0065,0.0059,0.0017,-0.0022,0.0038,-0.0035,-0.0007,0.0013
0.466667,0.0274,-0.0053,-0.0205,0.0173,0.0062,0.0057,0.0015,-0.002,0.005,-0.0047,0.0009,0.0015
0.470833,0.0277,-0.0053,-0.0209,0.0174,0.0065,0.0059,0.002,-0.0019,0.0052,-0.005,-0.0001,0.0015
0.475,0.028,-0.0054,-0.0212,0.0175,0.006,0.0056,0.0017,-0.0016,0.0074,-0.0064,0.0033,0.0015
0.479167,0.0282,-0.0054,-0.0215,0.0175,0.0058,0.0053,0.0018,-0.0015,0.0067,-0.0063,0.0017,0.0015
0.483333,0.0284,-0.0056,-0.0217,0.0175,0.0061,0.0057,0.0017,-0.0014,0.0063,-0.0058,0.0023,0.001
0.4875,0.0288,-0.0056,-0.0221,0.0176,0.0068,0.0063,0.0023,-0.0013,0.0037,-0.0037,-0.0002,0.0006
0.491667,0.029,-0.0058,-0.0223,0.0176,0.0063,0.006,0.0017,-0.0009,0.0048,-0.0044,0.0019,0.0003
0.495833,0.0293,-0.006,-0.0226,0.0177,0.0056,0.0053,0.0016,-0.0007,0.0067,-0.0059,0.0032,0.0002
0.5,0.0295,-0.0062,-0.0228,0.0177,0.0061,0.0057,0.0019,-0.0005,0.005,-0.0041,0.0029,-0.0002
0.504167,0.0298,-0.0062,-0.0231,0.0177,0.0062,0.0057,0.0024,-0.0004,0.0022,-0.0022,0.0006,-0.0001
0.508333,0.03,-0.0063,-0.0234,0.0177,0.0058,0.0055,0.0018,-0.0002,0.0052,-0.0049,0.0017,-0.0004
0.5125,0.0302,-0.0065,-0.0235,0.0177,0.0061,0.0057,0.0022,0.0001,0.0045,-0.004,0.002,-0.0006
0.516667,0.0304,-0.0066,-0.0239,0.0177,0.006,0.0057,0.0019,0.0002,0.0057,-0.0048,0.0029,-0.0009
0.520833,0.0306,-0.0067,-0.0241,0.0177,0.0057,0.0052,0.0023,0.0003,0.0041,-0.0035,0.0019,-0.0008
0.525,0.0308,-0.0069,-0.0242,0.0177,0.0056,0.0053,0.0018,0.0005,0.0034,-0.003,0.0014,-0.0008
0.529167,0.031,-0.007,-0.0245,0.0177,0.0058,0.0054,0.0022,0.0006,0.0062,-0.0043,0.0041,-0.0016
0.533333,0.0312,-0.007,-0.0247,0.0177,0.006,0.0053,0.0027,0.0006,0.0062,-0.0021,0.0056,-0.0015
0.5375,0.0314,-0.0071,-0.025,0.0178,0.0058,0.0052,0.0025,0.0006,0.009,-0.0034,0.008,-0.0023
0.541667,0.0315,-0.0073,-0.0249,0.0178,0.005,0.0045,0.0019,0.0007,0.0069,-0.004,0.0053,-0.002
0.545833,0.0318,-0.0073,-0.0252,0.0179,0.0061,0.0054,0.0027,0.0007,0.0047,-0.002,0.004,-0.0013
0.55,0.032,-0.0073,-0.0254,0.018,0.0061,0.0053,0.0029,0.0007,0.0041,-0.0003,0.004,-0.0009
0.554167,0.032,-0.0075,-0.0254,0.018,0.0052,0.0045,0.0025,0.0005,0.01,-0.0067,0.0069,-0.003
0.558333,0.0322,-0.0075,-0.0256,0.0179,0.0052,0.0045,0.0025,0.0004,0.0081,-0.0047,0.0062,-0.0022
0.5625,0.0321,-0.0074,-0.0258,0.0176,0.006,0.0049,0.0035,0.0001,0.0076,-0.0023,0.007,-0.0019
0.566667,0.0319,-0.0072,-0.0259,0.0172,0.0065,0.0051,0.0041,-0.0003,0.026,0.0187,0.0181,-0.0017
0.570833,0.032,-0.0071,-0.026,0.0174,0.0059,0.0049,0.0034,-0.0003,0.0099,-0.0048,0.0083,-0.0024
0.575,0.0322,-0.0069,-0.026,0.0176,0.0056,0.0045,0.0033,-0.0005,0.0096,0.0004,0.0093,-0.0023
0.579167,0.0323,-0.0069,-0.0258,0.0182,0.0059,0.0047,0.0034,-0.0008,0.0082,-0.0032,0.0073,-0.0021
0.583333,0.0324,-0.0067,-0.0257,0.0186,0.0056,0.0041,0.0036,-0.001,0.0101,-0.0003,0.0097,-0.0028
0.5875,0.0326,-0.0064,-0.0257,0.019,0.0061,0.0046,0.0039,-0.0012,0.007,-0.0009,0.0067,-0.002
0.591667,0.0325,-0.0064,-0.0254,0.0193,0.0031,0.002,0.0022,-0.0008,0.0137,0.003,0.0128,-0.0041
0.595833,0.0326,-0.0062,-0.0253,0.0196,0.0057,0.0043,0.0033,-0.0015,0.0099,-0.0008,0.0095,-0.0029
0.6,0.0328,-0.0058,-0.0254,0.0198,0.006,0.0042,0.0039,-0.0018,0.0123,0.0006,0.0117,-0.0037
0.604167,0.0329,-0.0055,-0.0255,0.02,0.0057,0.0041,0.0035,-0.0018,0.0122,-0.0014,0.0116,-0.0034
0.608333,0.033,-0.0051,-0.0256,0.0203,0.0057,0.0041,0.0034,-0.0019,0.0136,-0.0011,0.013,-0.0037
0.6125,0.0329,-0.0046,-0.0257,0.0199,0.0062,0.0039,0.0042,-0.0022,0.012,0.0007,0.0114,-0.0036
0.616667,0.0331,-0.0041,-0.0259,0.0202,0.0057,0.0038,0.0037,-0.0021,0.0146,0.0001,0.014,-0.0041
0.620833,0.0326,-0.0035,-0.026,0.0194,0.0062,0.004,0.0042,-0.0024,0.0128,0.0003,0.0123,-0.0036
0.625,0.0328,-0.003,-0.0261,0.0196,0.0061,0.0036,0.0043,-0.0024,0.015,0.0003,0.0144,-0.0042
