timestep,position_error,x_error,y_error,z_error,linear_velocity_error,x_vel_error,y_vel_error,z_vel_error,angular_velocity_error,rx_vel_error,ry_vel_error,rz_vel_error
0.004167,0.0,-0.0,-0.0,0.0,0.0002,0.0002,-0.0002,-0.0,0.0004,-0.0004,-0.0,0.0
0.008333,0.0001,-0.0,-0.0,0.0,0.0002,0.0001,-0.0002,-0.0,0.0002,-0.0,0.0002,0.0
0.0125,0.0001,-0.0001,-0.0001,0.0001,0.0003,0.0003,-0.0001,-0.0,0.0004,-0.0003,-0.0003,-0.0
0.016667,0.0002,-0.0001,-0.0001,0.0001,0.0003,0.0002,-0.0002,-0.0,0.0015,0.001,-0.0011,-0.0001
0.020833,0.0003,-0.0001,-0.0001,0.0002,0.0004,0.0003,-0.0003,-0.0,0.0018,0.0013,-0.0012,-0.0001
0.025,0.0006,-0.0002,-0.0001,0.0005,0.0004,0.0003,-0.0002,-0.0,0.001,0.001,-0.0004,-0.0
0.029167,0.0011,-0.0,0.0001,0.0011,0.0029,-0.0023,0.0018,0.0001,0.0202,-0.0118,0.0164,0.0006
0.033333,0.0015,-0.0001,0.0001,0.0015,0.0004,0.0003,-0.0003,-0.0,0.0018,-0.0018,0.0002,0.0
0.0375,0.0018,-0.0001,0.0001,0.0018,0.0004,0.0002,-0.0004,-0.0,0.0025,-0.0024,0.0008,0.0
0.041667,0.0024,-0.0002,0.0,0.0024,0.0009,0.0003,-0.0008,-0.0,0.0024,-0.0014,0.0019,0.0001
0.045833,0.003,-0.0003,0.0,0.0029,0.0006,0.0003,-0.0005,-0.0,0.0026,-0.0025,0.0002,0.0
0.05,0.0036,-0.0004,-0.0,0.0035,0.0005,0.0002,-0.0004,-0.0,0.0009,-0.0009,-0.0001,0.0
0.054167,0.0041,-0.0005,-0.0001,0.004,0.0009,0.0005,-0.0007,-0.0,0.0017,-0.0009,-0.0015,-0.0
0.058333,0.0044,-0.0006,-0.0001,0.0044,0.0006,0.0003,-0.0006,-0.0,0.0017,-0.0017,0.0005,0.0
0.0625,0.0049,-0.0007,-0.0001,0.0049,0.0007,0.0005,-0.0005,-0.0,0.0011,-0.0008,-0.0008,0.0
0.066667,0.0055,-0.0008,-0.0001,0.0055,0.0006,0.0003,-0.0006,0.0,0.001,-0.0001,-0.001,0.0
0.070833,0.006,-0.0008,-0.0002,0.006,0.0009,0.0006,-0.0007,0.0,0.0009,-0.0005,-0.0007,0.0
0.075,0.0064,-0.0009,-0.0003,0.0063,0.0012,0.0009,-0.0008,0.0,0.0011,-0.0002,-0.0011,0.0
0.079167,0.0068,-0.001,-0.0003,0.0067,0.0009,0.0006,-0.0006,0.0,0.0006,-0.0006,0.0001,0.0
0.083333,0.0071,-0.0011,-0.0003,0.007,0.0009,0.0006,-0.0007,0.0,0.0022,-0.0008,0.0021,-0.0001
0.0875,0.0075,-0.0012,-0.0004,0.0074,0.001,0.0008,-0.0006,0.0,0.0011,-0.0007,0.0009,-0.0
0.091667,0.0082,-0.0013,-0.0004,0.0081,0.0012,0.0009,-0.0008,0.0,0.0025,0.0012,-0.0022,0.0001
0.095833,0.0085,-0.0015,-0.0005,0.0084,0.0013,0.001,-0.0008,0.0,0.0028,0.0016,-0.0023,0.0001
0.1,0.0082,-0.0016,-0.0006,0.008,0.0013,0.001,-0.0009,0.0,0.0036,0.0018,-0.0032,0.0001
